2022-04-19 07:59:40 [restartedMain] INFO  c.b.s.CustomerbillservicessApplication logStarting (55) - Starting CustomerbillservicessApplication using Java 1.8.0_181 on LP-5CD151G8G4 with PID 18624 (C:\Users\anant.mishra\Documents\workspace-sts-3.9.9.RELEASE\customerbillservicess\target\classes started by anant.mishra in C:\Users\anant.mishra\Documents\workspace-sts-3.9.9.RELEASE\customerbillservicess)
2022-04-19 08:01:03 [restartedMain] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger logWarning (82) - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2022-04-19 08:01:03 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver <init> (58) - Exposing 17 endpoint(s) beneath base path '/actuator'
2022-04-19 08:01:03 [restartedMain] INFO  o.s.c.n.eureka.InstanceInfoFactory create (67) - Setting initial instance status as: STARTING
2022-04-19 08:01:04 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient <init> (372) - Initializing Eureka in region us-east-1
2022-04-19 08:01:04 [restartedMain] INFO  c.n.d.s.r.aws.ConfigClusterResolver getClusterEndpoints (43) - Resolving eureka endpoints via configuration
2022-04-19 08:01:04 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1007) - Disable delta property : false
2022-04-19 08:01:04 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1008) - Single vip registry refresh property : null
2022-04-19 08:01:04 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1009) - Force full registry fetch : false
2022-04-19 08:01:04 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1010) - Application is null : false
2022-04-19 08:01:04 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1011) - Registered Applications size is zero : true
2022-04-19 08:01:04 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1013) - Application version is -1: true
2022-04-19 08:01:04 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient getAndStoreFullRegistry (1097) - Getting all instance registry info from the eureka server
2022-04-19 08:01:10 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient getAndStoreFullRegistry (1106) - The response status is 200
2022-04-19 08:01:10 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient initScheduledTasks (1321) - Starting heartbeat executor: renew interval is: 30
2022-04-19 08:01:10 [restartedMain] INFO  c.n.discovery.InstanceInfoReplicator <init> (60) - InstanceInfoReplicator onDemand update allowed rate per min is 4
2022-04-19 08:01:10 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient <init> (492) - Discovery Client initialized at timestamp 1650335470815 with initial instances count: 0
2022-04-19 08:01:10 [restartedMain] INFO  o.s.c.n.e.s.EurekaServiceRegistry register (41) - Registering application CUSTOMER-BILL-SERVICE with eureka with status UP
2022-04-19 08:01:10 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient notify (1352) - Saw local status change event StatusChangeEvent [timestamp=1650335470827, current=UP, previous=STARTING]
2022-04-19 08:01:10 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient register (873) - DiscoveryClient_CUSTOMER-BILL-SERVICE/LP-5CD151G8G4.HCLT.CORP.HCL.IN:customer-bill-service:9090: registering service...
2022-04-19 08:01:11 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient register (882) - DiscoveryClient_CUSTOMER-BILL-SERVICE/LP-5CD151G8G4.HCLT.CORP.HCL.IN:customer-bill-service:9090 - registration status: 204
2022-04-19 08:01:11 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer start (220) - Tomcat started on port(s): 9090 (http) with context path ''
2022-04-19 08:01:11 [restartedMain] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration onApplicationEvent (144) - Updating port to 9090
2022-04-19 08:01:18 [restartedMain] INFO  c.b.s.CustomerbillservicessApplication logStarted (61) - Started CustomerbillservicessApplication in 114.786 seconds (JVM running for 136.022)
2022-04-19 08:01:26 [http-nio-9090-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] log (173) - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-19 08:01:26 [http-nio-9090-exec-1] INFO  o.s.web.servlet.DispatcherServlet initServletBean (525) - Initializing Servlet 'dispatcherServlet'
2022-04-19 08:01:26 [http-nio-9090-exec-1] INFO  o.s.web.servlet.DispatcherServlet initServletBean (547) - Completed initialization in 6 ms
2022-04-19 08:01:41 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1007) - Disable delta property : false
2022-04-19 08:01:41 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1008) - Single vip registry refresh property : null
2022-04-19 08:01:41 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1009) - Force full registry fetch : false
2022-04-19 08:01:41 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1010) - Application is null : false
2022-04-19 08:01:41 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1011) - Registered Applications size is zero : true
2022-04-19 08:01:41 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1013) - Application version is -1: false
2022-04-19 08:01:41 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient getAndStoreFullRegistry (1097) - Getting all instance registry info from the eureka server
2022-04-19 08:01:41 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient getAndStoreFullRegistry (1106) - The response status is 200
2022-04-19 08:01:42 [http-nio-9090-exec-3] INFO  o.s.api.AbstractOpenApiResource getOpenApi (359) - Init duration for springdoc-openapi is: 2280 ms
2022-04-19 08:06:01 [Thread-6] INFO  o.s.c.n.e.s.EurekaServiceRegistry deregister (62) - Unregistering application CUSTOMER-BILL-SERVICE with eureka with status DOWN
2022-04-19 08:06:01 [Thread-6] INFO  c.netflix.discovery.DiscoveryClient notify (1352) - Saw local status change event StatusChangeEvent [timestamp=1650335761225, current=DOWN, previous=UP]
2022-04-19 08:06:01 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient register (873) - DiscoveryClient_CUSTOMER-BILL-SERVICE/LP-5CD151G8G4.HCLT.CORP.HCL.IN:customer-bill-service:9090: registering service...
2022-04-19 08:06:01 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient register (882) - DiscoveryClient_CUSTOMER-BILL-SERVICE/LP-5CD151G8G4.HCLT.CORP.HCL.IN:customer-bill-service:9090 - registration status: 204
2022-04-19 08:06:02 [Thread-6] INFO  c.netflix.discovery.DiscoveryClient shutdown (935) - Shutting down DiscoveryClient ...
2022-04-19 08:06:04 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver getClusterEndpoints (43) - Resolving eureka endpoints via configuration
2022-04-19 08:06:05 [Thread-6] INFO  c.netflix.discovery.DiscoveryClient unregister (971) - Unregistering ...
2022-04-19 08:06:05 [Thread-6] INFO  c.netflix.discovery.DiscoveryClient unregister (973) - DiscoveryClient_CUSTOMER-BILL-SERVICE/LP-5CD151G8G4.HCLT.CORP.HCL.IN:customer-bill-service:9090 - deregister  status: 200
2022-04-19 08:06:05 [Thread-6] INFO  c.netflix.discovery.DiscoveryClient shutdown (960) - Completed shut down of DiscoveryClient
2022-04-19 08:06:07 [restartedMain] INFO  c.b.s.CustomerbillservicessApplication logStarting (55) - Starting CustomerbillservicessApplication using Java 1.8.0_181 on LP-5CD151G8G4 with PID 18624 (C:\Users\anant.mishra\Documents\workspace-sts-3.9.9.RELEASE\customerbillservicess\target\classes started by anant.mishra in C:\Users\anant.mishra\Documents\workspace-sts-3.9.9.RELEASE\customerbillservicess)
2022-04-19 08:06:07 [restartedMain] DEBUG c.b.s.CustomerbillservicessApplication logStarting (56) - Running with Spring Boot v2.6.6, Spring v5.3.18
2022-04-19 08:06:07 [restartedMain] INFO  c.b.s.CustomerbillservicessApplication logStartupProfileInfo (640) - No active profile set, falling back to 1 default profile: "default"
2022-04-19 08:06:09 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope setSerializationId (283) - BeanFactory id=fba56cf5-1c6e-37b8-9239-774f378ad0d6
2022-04-19 08:06:09 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker postProcessAfterInitialization (376) - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-04-19 08:06:09 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker postProcessAfterInitialization (376) - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-04-19 08:06:09 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker postProcessAfterInitialization (376) - Bean 'reactorDeferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-04-19 08:06:13 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer initialize (108) - Tomcat initialized with port(s): 9090 (http)
2022-04-19 08:06:13 [restartedMain] INFO  o.a.catalina.core.StandardService log (173) - Starting service [Tomcat]
2022-04-19 08:06:13 [restartedMain] INFO  o.a.catalina.core.StandardEngine log (173) - Starting Servlet engine: [Apache Tomcat/9.0.60]
2022-04-19 08:06:14 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] log (173) - Initializing Spring embedded WebApplicationContext
2022-04-19 08:06:14 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext prepareWebApplicationContext (290) - Root WebApplicationContext: initialization completed in 6922 ms
2022-04-19 08:06:14 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer startServer (58) - LiveReload server is running on port 35729
2022-04-19 08:06:21 [restartedMain] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration restTemplateDiscoveryClientOptionalArgs (68) - Eureka HTTP Client uses RestTemplate.
2022-04-19 08:06:21 [restartedMain] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger logWarning (82) - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2022-04-19 08:06:21 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver <init> (58) - Exposing 17 endpoint(s) beneath base path '/actuator'
2022-04-19 08:06:21 [restartedMain] INFO  o.s.c.n.eureka.InstanceInfoFactory create (67) - Setting initial instance status as: STARTING
2022-04-19 08:06:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient <init> (372) - Initializing Eureka in region us-east-1
2022-04-19 08:06:21 [restartedMain] INFO  c.n.d.s.r.aws.ConfigClusterResolver getClusterEndpoints (43) - Resolving eureka endpoints via configuration
2022-04-19 08:06:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1007) - Disable delta property : false
2022-04-19 08:06:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1008) - Single vip registry refresh property : null
2022-04-19 08:06:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1009) - Force full registry fetch : false
2022-04-19 08:06:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1010) - Application is null : false
2022-04-19 08:06:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1011) - Registered Applications size is zero : true
2022-04-19 08:06:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1013) - Application version is -1: true
2022-04-19 08:06:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient getAndStoreFullRegistry (1097) - Getting all instance registry info from the eureka server
2022-04-19 08:06:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient getAndStoreFullRegistry (1106) - The response status is 200
2022-04-19 08:06:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient initScheduledTasks (1321) - Starting heartbeat executor: renew interval is: 30
2022-04-19 08:06:21 [restartedMain] INFO  c.n.discovery.InstanceInfoReplicator <init> (60) - InstanceInfoReplicator onDemand update allowed rate per min is 4
2022-04-19 08:06:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient <init> (492) - Discovery Client initialized at timestamp 1650335781606 with initial instances count: 4
2022-04-19 08:06:21 [restartedMain] INFO  o.s.c.n.e.s.EurekaServiceRegistry register (41) - Registering application CUSTOMER-BILL-SERVICE with eureka with status UP
2022-04-19 08:06:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient notify (1352) - Saw local status change event StatusChangeEvent [timestamp=1650335781606, current=UP, previous=STARTING]
2022-04-19 08:06:21 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient register (873) - DiscoveryClient_CUSTOMER-BILL-SERVICE/LP-5CD151G8G4.HCLT.CORP.HCL.IN:customer-bill-service:9090: registering service...
2022-04-19 08:06:21 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer start (220) - Tomcat started on port(s): 9090 (http) with context path ''
2022-04-19 08:06:21 [restartedMain] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration onApplicationEvent (144) - Updating port to 9090
2022-04-19 08:06:21 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient register (882) - DiscoveryClient_CUSTOMER-BILL-SERVICE/LP-5CD151G8G4.HCLT.CORP.HCL.IN:customer-bill-service:9090 - registration status: 204
2022-04-19 08:06:24 [restartedMain] INFO  c.b.s.CustomerbillservicessApplication logStarted (61) - Started CustomerbillservicessApplication in 18.624 seconds (JVM running for 441.559)
2022-04-19 08:06:24 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener onApplicationEvent (63) - Condition evaluation unchanged
2022-04-19 08:07:59 [Thread-10] INFO  o.s.c.n.e.s.EurekaServiceRegistry deregister (62) - Unregistering application CUSTOMER-BILL-SERVICE with eureka with status DOWN
2022-04-19 08:07:59 [Thread-10] INFO  c.netflix.discovery.DiscoveryClient notify (1352) - Saw local status change event StatusChangeEvent [timestamp=1650335879202, current=DOWN, previous=UP]
2022-04-19 08:07:59 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient register (873) - DiscoveryClient_CUSTOMER-BILL-SERVICE/LP-5CD151G8G4.HCLT.CORP.HCL.IN:customer-bill-service:9090: registering service...
2022-04-19 08:07:59 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient register (882) - DiscoveryClient_CUSTOMER-BILL-SERVICE/LP-5CD151G8G4.HCLT.CORP.HCL.IN:customer-bill-service:9090 - registration status: 204
2022-04-19 08:08:00 [Thread-10] INFO  c.netflix.discovery.DiscoveryClient shutdown (935) - Shutting down DiscoveryClient ...
2022-04-19 08:08:03 [Thread-10] INFO  c.netflix.discovery.DiscoveryClient unregister (971) - Unregistering ...
2022-04-19 08:08:03 [Thread-10] INFO  c.netflix.discovery.DiscoveryClient unregister (973) - DiscoveryClient_CUSTOMER-BILL-SERVICE/LP-5CD151G8G4.HCLT.CORP.HCL.IN:customer-bill-service:9090 - deregister  status: 200
2022-04-19 08:08:03 [Thread-10] INFO  c.netflix.discovery.DiscoveryClient shutdown (960) - Completed shut down of DiscoveryClient
2022-04-19 08:08:05 [restartedMain] INFO  c.b.s.CustomerbillservicessApplication logStarting (55) - Starting CustomerbillservicessApplication using Java 1.8.0_181 on LP-5CD151G8G4 with PID 18624 (C:\Users\anant.mishra\Documents\workspace-sts-3.9.9.RELEASE\customerbillservicess\target\classes started by anant.mishra in C:\Users\anant.mishra\Documents\workspace-sts-3.9.9.RELEASE\customerbillservicess)
2022-04-19 08:08:05 [restartedMain] DEBUG c.b.s.CustomerbillservicessApplication logStarting (56) - Running with Spring Boot v2.6.6, Spring v5.3.18
2022-04-19 08:08:05 [restartedMain] INFO  c.b.s.CustomerbillservicessApplication logStartupProfileInfo (640) - No active profile set, falling back to 1 default profile: "default"
2022-04-19 08:08:07 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope setSerializationId (283) - BeanFactory id=fba56cf5-1c6e-37b8-9239-774f378ad0d6
2022-04-19 08:08:07 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker postProcessAfterInitialization (376) - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-04-19 08:08:07 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker postProcessAfterInitialization (376) - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-04-19 08:08:07 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker postProcessAfterInitialization (376) - Bean 'reactorDeferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-04-19 08:08:10 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer initialize (108) - Tomcat initialized with port(s): 9090 (http)
2022-04-19 08:08:10 [restartedMain] INFO  o.a.catalina.core.StandardService log (173) - Starting service [Tomcat]
2022-04-19 08:08:10 [restartedMain] INFO  o.a.catalina.core.StandardEngine log (173) - Starting Servlet engine: [Apache Tomcat/9.0.60]
2022-04-19 08:08:12 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] log (173) - Initializing Spring embedded WebApplicationContext
2022-04-19 08:08:12 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext prepareWebApplicationContext (290) - Root WebApplicationContext: initialization completed in 7317 ms
2022-04-19 08:08:13 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer startServer (58) - LiveReload server is running on port 35729
2022-04-19 08:08:21 [restartedMain] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration restTemplateDiscoveryClientOptionalArgs (68) - Eureka HTTP Client uses RestTemplate.
2022-04-19 08:08:21 [restartedMain] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger logWarning (82) - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2022-04-19 08:08:21 [restartedMain] INFO  o.s.b.a.e.web.EndpointLinksResolver <init> (58) - Exposing 17 endpoint(s) beneath base path '/actuator'
2022-04-19 08:08:21 [restartedMain] INFO  o.s.c.n.eureka.InstanceInfoFactory create (67) - Setting initial instance status as: STARTING
2022-04-19 08:08:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient <init> (372) - Initializing Eureka in region us-east-1
2022-04-19 08:08:21 [restartedMain] INFO  c.n.d.s.r.aws.ConfigClusterResolver getClusterEndpoints (43) - Resolving eureka endpoints via configuration
2022-04-19 08:08:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1007) - Disable delta property : false
2022-04-19 08:08:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1008) - Single vip registry refresh property : null
2022-04-19 08:08:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1009) - Force full registry fetch : false
2022-04-19 08:08:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1010) - Application is null : false
2022-04-19 08:08:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1011) - Registered Applications size is zero : true
2022-04-19 08:08:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient fetchRegistry (1013) - Application version is -1: true
2022-04-19 08:08:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient getAndStoreFullRegistry (1097) - Getting all instance registry info from the eureka server
2022-04-19 08:08:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient getAndStoreFullRegistry (1106) - The response status is 200
2022-04-19 08:08:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient initScheduledTasks (1321) - Starting heartbeat executor: renew interval is: 30
2022-04-19 08:08:21 [restartedMain] INFO  c.n.discovery.InstanceInfoReplicator <init> (60) - InstanceInfoReplicator onDemand update allowed rate per min is 4
2022-04-19 08:08:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient <init> (492) - Discovery Client initialized at timestamp 1650335901403 with initial instances count: 4
2022-04-19 08:08:21 [restartedMain] INFO  o.s.c.n.e.s.EurekaServiceRegistry register (41) - Registering application CUSTOMER-BILL-SERVICE with eureka with status UP
2022-04-19 08:08:21 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient notify (1352) - Saw local status change event StatusChangeEvent [timestamp=1650335901404, current=UP, previous=STARTING]
2022-04-19 08:08:21 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient register (873) - DiscoveryClient_CUSTOMER-BILL-SERVICE/LP-5CD151G8G4.HCLT.CORP.HCL.IN:customer-bill-service:9090: registering service...
2022-04-19 08:08:21 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer start (220) - Tomcat started on port(s): 9090 (http) with context path ''
2022-04-19 08:08:21 [restartedMain] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration onApplicationEvent (144) - Updating port to 9090
2022-04-19 08:08:21 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient register (882) - DiscoveryClient_CUSTOMER-BILL-SERVICE/LP-5CD151G8G4.HCLT.CORP.HCL.IN:customer-bill-service:9090 - registration status: 204
2022-04-19 08:08:23 [http-nio-9090-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] log (173) - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-04-19 08:08:23 [http-nio-9090-exec-1] INFO  o.s.web.servlet.DispatcherServlet initServletBean (525) - Initializing Servlet 'dispatcherServlet'
2022-04-19 08:08:23 [http-nio-9090-exec-1] INFO  o.s.web.servlet.DispatcherServlet initServletBean (547) - Completed initialization in 6 ms
2022-04-19 08:08:24 [restartedMain] INFO  c.b.s.CustomerbillservicessApplication logStarted (61) - Started CustomerbillservicessApplication in 20.725 seconds (JVM running for 561.763)
